bank,case,seed,model_type,use_macro,optimize,rmse,mae,mape,mse,summary_path,test_predictions_path
BBNI,bilstm_macro,62,bilstm,True,False,452.7067379938143,358.508544921875,7.017218112945557,204943.390625,results_study_full\BBNI\bilstm_macro\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro,72,bilstm,True,False,545.0004873851032,466.46307373046875,9.257963180541992,297025.53125,results_study_full\BBNI\bilstm_macro\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro,82,bilstm,True,False,415.641559820478,321.13214111328125,6.2540283203125,172757.90625,results_study_full\BBNI\bilstm_macro\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data_ga,42,lstm,False,True,339.4017484854785,257.1298522949219,5.005313873291016,115193.546875,results_study_full\BBNI\lstm_data_ga\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data_ga\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data_ga,52,lstm,False,True,445.11095877881957,335.3699951171875,6.48890495300293,198123.765625,results_study_full\BBNI\lstm_data_ga\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data_ga\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data_ga,62,lstm,False,True,458.2037449377733,359.39215087890625,7.016329288482666,209950.671875,results_study_full\BBNI\lstm_data_ga\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data_ga\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data_ga,72,lstm,False,True,245.50077965762145,176.99221801757812,3.4271962642669678,60270.6328125,results_study_full\BBNI\lstm_data_ga\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data_ga\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data_ga,82,lstm,False,True,394.03600723791726,317.54852294921875,6.234006881713867,155264.375,results_study_full\BBNI\lstm_data_ga\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data_ga\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro_ga,42,lstm,True,True,527.1053915015478,415.4338684082031,8.141175270080566,277840.09375,results_study_full\BBNI\lstm_macro_ga\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro_ga\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro_ga,52,lstm,True,True,515.3141638845182,422.6121520996094,8.32933521270752,265548.6875,results_study_full\BBNI\lstm_macro_ga\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro_ga\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro_ga,62,lstm,True,True,537.2873125712164,422.4330139160156,8.244606971740723,288677.65625,results_study_full\BBNI\lstm_macro_ga\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro_ga\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro_ga,72,lstm,True,True,363.54227316090765,295.79180908203125,5.812168598175049,132162.984375,results_study_full\BBNI\lstm_macro_ga\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro_ga\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro_ga,82,lstm,True,True,635.9382340290604,544.4319458007812,10.837126731872559,404417.4375,results_study_full\BBNI\lstm_macro_ga\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro_ga\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data_ga,42,bilstm,False,True,482.85409610461005,376.8030700683594,7.362511157989502,233148.078125,results_study_full\BBNI\bilstm_data_ga\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data_ga\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data_ga,52,bilstm,False,True,357.67450941813007,270.40606689453125,5.245865345001221,127931.0546875,results_study_full\BBNI\bilstm_data_ga\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data_ga\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data_ga,62,bilstm,False,True,253.70622313268154,175.73109436035156,3.377013683319092,64366.84765625,results_study_full\BBNI\bilstm_data_ga\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data_ga\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data_ga,72,bilstm,False,True,311.65470676696026,243.8394317626953,4.792433738708496,97128.65625,results_study_full\BBNI\bilstm_data_ga\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data_ga\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data_ga,82,bilstm,False,True,431.8248704625522,324.4055480957031,6.278814315795898,186472.71875,results_study_full\BBNI\bilstm_data_ga\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data_ga\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro_ga,42,bilstm,True,True,447.5759712048894,377.4127502441406,7.477115631103516,200324.25,results_study_full\BBNI\bilstm_macro_ga\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro_ga\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro_ga,52,bilstm,True,True,432.21245860687543,349.5848693847656,6.8639678955078125,186807.609375,results_study_full\BBNI\bilstm_macro_ga\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro_ga\seed_52\BBNI\test_predictions_pytorch.csv
