"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BBRI","cnn_bilstm_data","5","731.74135604483","626.665026855469","12.0414386749268","539330.46875"
"BBRI","bilstm_attention_macro_ga","5","735.317988585072","616.319366455078","11.8034692764282","555060.16875"
"BBRI","cnn_lstm_macro","5","735.719031205046","613.978167724609","11.728399848938","558517.6"
"BBRI","cnn_bilstm_data_ga","5","741.765253899627","654.880651855469","12.6990636825562","564802.01875"
"BBRI","cnn_lstm_data","5","742.15451964921","619.522717285156","11.8323265075684","556912.38125"
"BBRI","cnn_lstm_data_ga","5","757.434584097223","644.753088378906","12.3856563568115","576040.74375"
"BBRI","lstm_attention_data","5","791.099373889338","653.723431396484","12.4634538650513","648922.33125"
"BBRI","bilstm_attention_data_ga","5","804.216322595154","677.18310546875","12.9589225769043","657711.44375"
"BBRI","bilstm_post_norm_macro","5","808.361257177364","690.363739013672","13.2928024291992","665828.5875"
"BBRI","lstm_attention_data_ga","5","840.583491683018","712.364904785156","13.6453046798706","718430.50625"
"BBRI","bilstm_post_norm_data_ga","5","865.889778562817","753.694702148438","14.5512144088745","753509.95"
"BBRI","lstm_attention_macro","5","867.40403010149","750.296429443359","14.4521783828735","784568.61875"
"BBRI","lstm_post_norm_data","5","871.525005297137","766.884619140625","14.868656539917","763173.1625"
"BBRI","lstm_post_norm_data_ga","5","875.13296108854","765.021325683594","14.7827014923096","766732.075"
"BBRI","lstm_attention_macro_ga","5","886.628921112087","766.566625976562","14.7490997314453","803366.625"
"BBRI","bilstm_post_norm_data","5","939.971264712711","827.702416992188","16.0637401580811","892879.2"
"BBRI","bilstm_post_norm_macro_ga","5","940.1929006827","837.85654296875","16.2741973876953","937076.55"
"BBRI","lstm_post_norm_macro","5","968.052787685089","877.572766113281","17.1437261581421","949101.05"
"BBRI","lstm_post_norm_macro_ga","5","1003.32708697255","916.739465332031","17.9998315811157","1040029.525"
"BBRI","lstm_pre_post_norm_data","5","1236.95248095043","1154.44594726562","22.8800830841064","1530341.225"
"BBRI","bilstm_pre_post_norm_macro","5","1256.52963525141","1205.83562011719","23.9970333099365","1583662.125"
"BBRI","bilstm_pre_post_norm_data_ga","5","1274.45555531295","1172.69552001953","23.0778823852539","1638488.575"
"BBRI","bilstm_pre_norm_macro_ga","5","1286.24334690864","1240.46772460937","24.7060497283936","1657504.7"
"BBRI","bilstm_pre_norm_macro","5","1290.70246093344","1238.58952636719","24.6056285858154","1670696.35"
"BBRI","lstm_pre_norm_data","5","1305.43580998845","1222.71875","24.098318862915","1708158.6"
"BBRI","bilstm_pre_post_norm_macro_ga","5","1319.25398297098","1267.69963378906","25.2242126464844","1750939.65"
"BBRI","lstm_pre_norm_macro","5","1336.57999847875","1286.90080566406","25.6862831115723","1794895.65"
"BBRI","bilstm_pre_post_norm_data","5","1347.70499403825","1248.82336425781","24.8858463287354","1834320.325"
"BBRI","lstm_pre_norm_data_ga","5","1352.99402966216","1266.58620605469","24.942236328125","1842840.375"
"BBRI","lstm_pre_post_norm_macro_ga","5","1364.83644779724","1299.21520996094","25.8019390106201","1878349.425"
"BBRI","bilstm_pre_norm_data","5","1365.45006121191","1279.44821777344","25.3950092315674","1880867.6"
"BBRI","lstm_pre_norm_macro_ga","5","1370.68177324497","1316.74931640625","26.2241298675537","1885673.55"
"BBRI","lstm_pre_post_norm_macro","5","1380.95526401029","1333.29052734375","26.6063396453857","1911040.075"
"BBRI","lstm_pre_post_norm_data_ga","5","1398.58759903904","1315.02746582031","25.9618503570557","1976162.6"
"BBRI","bilstm_pre_norm_data_ga","5","1488.23044252831","1407.42702636719","27.7901458740234","2237952.825"
"BBTN","bilstm_attention_data","5","70.8417225575648","58.9862586975098","4.34715557098389","5058.71875"
"BBTN","bilstm_attention_data_ga","5","94.7794257859044","82.1335456848145","6.1090970993042","9878.77158203125"
"BBTN","lstm_attention_data","5","96.9099515676982","81.8056137084961","6.17208032608032","10194.9612304688"
"BBTN","cnn_lstm_macro_ga","5","114.502205923694","89.5452751159668","6.49693555831909","17271.4091796875"
"BBTN","bilstm_post_norm_data_ga","5","116.355397158458","106.736686706543","8.02082633972168","16881.55859375"
"BBTN","cnn_lstm_data","5","129.03950754979","120.135270690918","8.98798532485962","17206.6283203125"
"BBTN","cnn_bilstm_data_ga","5","133.697444682548","123.121628570557","9.22572140693665","19935.7171875"
"BBTN","cnn_lstm_data_ga","5","136.517925149039","124.527645874023","9.32588729858398","20071.4556640625"
