feature,importance,model
t43_Low Price,5.1700783e-05,xgb
t14_Price Earnings Ratio,5.1594867e-05,xgb
t15_ihsg_close,5.0641745e-05,xgb
t28_Price Change 1 Day Percent,5.050365e-05,xgb
t37_Price Change 1 Day Percent,5.0044815e-05,xgb
t44_Dividend Indicated Yld - Gross,4.9851504e-05,xgb
t24_Price to Sales Ratio,4.957696e-05,xgb
t45_High Price,4.910708e-05,xgb
t44_High Price,4.8730926e-05,xgb
t17_Price to Book Ratio,4.8461436e-05,xgb
t40_Moving Average 20 Day,4.8321774e-05,xgb
t27_Moving Average 20 Day,4.831121e-05,xgb
t49_Price to Book Ratio,4.8114478e-05,xgb
t12_Bid Price,4.8096175e-05,xgb
t35_Price Change 1 Day Percent,4.7695725e-05,xgb
t26_ihsg_close,4.6965146e-05,xgb
t39_Price to Sales Ratio,4.692016e-05,xgb
t34_Price to Sales Ratio,4.5962865e-05,xgb
t57_Price Change 1 Day Percent,4.5696306e-05,xgb
t24_ihsg_close,4.5039364e-05,xgb
t42_ihsg_close,4.5027213e-05,xgb
t10_Ask Price,4.469493e-05,xgb
t16_Dividend Indicated Yld - Gross,4.467527e-05,xgb
t11_Price Earnings Ratio,4.4636196e-05,xgb
t38_ihsg_return_1d,4.4606437e-05,xgb
t08_Price Earnings Ratio,4.460338e-05,xgb
t00_Price to Book Ratio,4.4126155e-05,xgb
t53_Dividend Indicated Yld - Gross,4.242256e-05,xgb
t42_ihsg_return_1d,4.2358548e-05,xgb
t51_Price Earnings Ratio,4.2215474e-05,xgb
t43_Price to Book Ratio,4.184821e-05,xgb
t15_ihsg_return_1d,4.167931e-05,xgb
t10_Price to Sales Ratio,4.084576e-05,xgb
t54_Dividend Indicated Yld - Gross,4.0265895e-05,xgb
t06_Moving Average 20 Day,4.013912e-05,xgb
t56_Price to Sales Ratio,3.9900595e-05,xgb
t30_Ask Price,3.9037343e-05,xgb
t18_Price Earnings Ratio,3.8991882e-05,xgb
t47_ihsg_close,3.8843038e-05,xgb
t35_Price to Book Ratio,3.8683917e-05,xgb
t31_Price Change 1 Day Percent,3.8600236e-05,xgb
t09_Price Change 1 Day Percent,3.8496662e-05,xgb
t11_cpi_index,3.8013717e-05,xgb
t33_Bid Price,3.7506004e-05,xgb
t57_Price to Sales Ratio,3.74866e-05,xgb
t08_Bid Price,3.6547564e-05,xgb
t23_ihsg_close,3.6290767e-05,xgb
t28_Dividend Indicated Yld - Gross,3.555335e-05,xgb
t32_High Price,3.5446978e-05,xgb
t05_Moving Average 20 Day,3.528175e-05,xgb
t42_Ask Price,3.374086e-05,xgb
t14_ihsg_close,3.3259304e-05,xgb
t55_Price to Book Ratio,3.303672e-05,xgb
t19_Price Earnings Ratio,3.2848777e-05,xgb
t45_ihsg_close,3.2775726e-05,xgb
t02_Dividend Indicated Yld - Gross,3.252271e-05,xgb
t11_Moving Average 20 Day,3.2482327e-05,xgb
t29_Price to Book Ratio,3.2214983e-05,xgb
t32_Price to Book Ratio,3.2198728e-05,xgb
t42_Moving Average 20 Day,3.181756e-05,xgb
t00_Dividend Indicated Yld - Gross,3.164083e-05,xgb
t33_High Price,3.1516447e-05,xgb
t12_ihsg_close,3.138523e-05,xgb
t29_Price Earnings Ratio,3.118815e-05,xgb
t54_Price to Book Ratio,3.0344292e-05,xgb
t21_Low Price,2.9465129e-05,xgb
t02_Price to Book Ratio,2.8819222e-05,xgb
t01_ihsg_close,2.794e-05,xgb
t53_Price to Book Ratio,2.7870396e-05,xgb
t25_Dividend Indicated Yld - Gross,2.6822674e-05,xgb
t41_Price Earnings Ratio,2.6477575e-05,xgb
t05_Price Change 1 Day Percent,2.6289297e-05,xgb
t31_Price to Book Ratio,2.6280519e-05,xgb
t29_ihsg_close,2.6051755e-05,xgb
t53_ihsg_close,2.5922156e-05,xgb
t11_Dividend Indicated Yld - Gross,2.5832329e-05,xgb
t08_Price to Sales Ratio,2.56781e-05,xgb
t44_Ask Price,2.5637912e-05,xgb
t41_Price to Sales Ratio,2.5500687e-05,xgb
t12_Price Earnings Ratio,2.5322637e-05,xgb
t51_High Price,2.5132573e-05,xgb
t45_Low Price,2.478997e-05,xgb
t07_Price to Sales Ratio,2.472956e-05,xgb
t12_Price to Book Ratio,2.457207e-05,xgb
t51_Price to Book Ratio,2.4435225e-05,xgb
t39_Dividend Indicated Yld - Gross,2.425422e-05,xgb
t28_Bid Price,2.4159868e-05,xgb
t26_Dividend Indicated Yld - Gross,2.3619556e-05,xgb
t44_Price to Book Ratio,2.3247025e-05,xgb
t41_High Price,2.3086679e-05,xgb
t20_ihsg_close,2.3016079e-05,xgb
t27_ihsg_close,2.2940543e-05,xgb
t48_Low Price,2.2923381e-05,xgb
t51_Dividend Indicated Yld - Gross,2.2787768e-05,xgb
t33_Dividend Indicated Yld - Gross,2.2523393e-05,xgb
t19_ihsg_close,2.2391927e-05,xgb
t44_Low Price,2.2208875e-05,xgb
t50_Dividend Indicated Yld - Gross,2.2182865e-05,xgb
t36_Price to Book Ratio,2.2138032e-05,xgb
t55_Dividend Indicated Yld - Gross,2.1602273e-05,xgb
t05_Dividend Indicated Yld - Gross,2.138965e-05,xgb
t17_bi_rate,2.134334e-05,xgb
t13_Price to Book Ratio,2.1216514e-05,xgb
t17_Price to Sales Ratio,2.1157377e-05,xgb
t16_Bid Price,2.1139898e-05,xgb
t31_ihsg_close,2.0727397e-05,xgb
t09_Moving Average 20 Day,2.0653939e-05,xgb
t11_Price to Sales Ratio,2.0631089e-05,xgb
t10_High Price,2.0478783e-05,xgb
t03_Dividend Indicated Yld - Gross,2.030576e-05,xgb
t47_Price to Book Ratio,1.9912419e-05,xgb
t28_Price Earnings Ratio,1.9480252e-05,xgb
t27_Dividend Indicated Yld - Gross,1.9290119e-05,xgb
t05_exchange_rate_usd_idr,1.9273104e-05,xgb
t27_Price Earnings Ratio,1.9227655e-05,xgb
t21_Dividend Indicated Yld - Gross,1.9212357e-05,xgb
t57_Price to Book Ratio,1.8730645e-05,xgb
t07_Price Earnings Ratio,1.851021e-05,xgb
t34_High Price,1.7148666e-05,xgb
t36_Price to Sales Ratio,1.6518166e-05,xgb
t52_Price to Sales Ratio,1.6502272e-05,xgb
t08_Dividend Indicated Yld - Gross,1.6387477e-05,xgb
t01_Price to Sales Ratio,1.6202337e-05,xgb
t04_Dividend Indicated Yld - Gross,1.6104113e-05,xgb
t25_Price Earnings Ratio,1.6042206e-05,xgb
t07_Price to Book Ratio,1.5906773e-05,xgb
t21_Bid Price,1.5261501e-05,xgb
t11_bi_rate,1.5209853e-05,xgb
t56_Dividend Indicated Yld - Gross,1.5178273e-05,xgb
t38_Dividend Indicated Yld - Gross,1.4817639e-05,xgb
t38_Price to Sales Ratio,1.4551549e-05,xgb
t15_Price Earnings Ratio,1.4518508e-05,xgb
t45_Dividend Indicated Yld - Gross,1.4220976e-05,xgb
t13_Dividend Indicated Yld - Gross,1.353634e-05,xgb
